Timestamp,Resistance (Ohm),Reactance (Ohm),Status
2025-07-31 18:35:12.217,1.67804e-11,2.30680e-05,0
2025-07-31 18:35:12.617,1.68372e-11,2.06780e-03,0
2025-07-31 18:35:13.009,1.67590e-11,4.77167e-04,0
2025-07-31 18:35:13.401,1.68408e-11,1.25178e-04,0
2025-07-31 18:35:13.791,1.67957e-11,2.94343e-03,0
2025-07-31 18:35:14.186,1.67802e-11,2.18082e-04,0
2025-07-31 18:35:14.577,1.68472e-11,1.15969e-03,0
2025-07-31 18:35:14.976,1.67832e-11,3.06995e-03,0
2025-07-31 18:35:15.369,1.67691e-11,9.02799e-05,0
2025-07-31 18:35:15.763,1.68400e-11,1.04402e-03,0
2025-07-31 18:35:16.155,1.67917e-11,3.03050e-03,0
2025-07-31 18:35:16.542,1.67695e-11,2.86338e-05,0
2025-07-31 18:35:16.941,1.68388e-11,2.58789e-04,0
2025-07-31 18:35:17.332,1.68091e-11,3.16266e-03,0
2025-07-31 18:35:17.720,1.67675e-11,2.40732e-04,0
2025-07-31 18:35:18.113,1.68336e-11,8.07319e-05,0
2025-07-31 18:35:18.505,1.68249e-11,2.77756e-03,0
2025-07-31 18:35:18.906,1.67636e-11,1.46470e-03,0
2025-07-31 18:35:19.291,1.68247e-11,2.89809e-04,0
2025-07-31 18:35:19.692,1.68342e-11,2.84922e-03,0
2025-07-31 18:35:20.083,1.67712e-11,1.74320e-03,0
2025-07-31 18:35:20.473,1.68181e-11,3.46518e-04,0
2025-07-31 18:35:20.869,1.68280e-11,3.09912e-03,0
2025-07-31 18:35:21.264,1.67551e-11,7.52985e-04,0
2025-07-31 18:35:21.655,1.68409e-11,7.12341e-05,0
2025-07-31 18:35:22.047,1.67964e-11,3.68043e-03,0
2025-07-31 18:35:22.441,1.68055e-11,4.27030e-04,0
2025-07-31 18:35:22.831,1.68250e-11,3.39020e-03,0
2025-07-31 18:35:23.222,1.67682e-11,8.32000e-05,0
2025-07-31 18:35:23.615,1.68545e-11,1.32820e-03,0
2025-07-31 18:35:24.010,1.67801e-11,3.08161e-03,0
2025-07-31 18:35:24.409,1.67931e-11,4.74175e-04,0
2025-07-31 18:35:24.800,1.68433e-11,2.17904e-03,0
2025-07-31 18:35:25.192,1.67662e-11,1.88526e-03,0
2025-07-31 18:35:25.584,1.68214e-11,2.52188e-04,0
2025-07-31 18:35:25.974,1.68198e-11,3.54816e-03,0
2025-07-31 18:35:26.373,1.67653e-11,2.85049e-04,0
2025-07-31 18:35:26.764,1.68384e-11,7.01936e-05,0
2025-07-31 18:35:27.159,1.68109e-11,3.29040e-03,0
2025-07-31 18:35:27.545,1.67866e-11,1.74049e-04,0
2025-07-31 18:35:27.946,1.68381e-11,1.07887e-03,0
2025-07-31 18:35:28.336,1.67905e-11,2.98103e-03,0
2025-07-31 18:35:28.728,1.67720e-11,2.33694e-05,0
2025-07-31 18:35:29.118,1.68458e-11,4.53728e-05,0
2025-07-31 18:35:29.509,1.68027e-11,3.44072e-03,0
2025-07-31 18:35:29.910,1.67677e-11,2.27776e-04,0
2025-07-31 18:35:30.303,1.68440e-11,3.56555e-04,0
2025-07-31 18:35:30.694,1.67972e-11,3.74572e-03,0
2025-07-31 18:35:31.086,1.67669e-11,3.99802e-07,0
2025-07-31 18:35:31.478,1.68398e-11,5.57129e-04,0
2025-07-31 18:35:31.875,1.68169e-11,3.57781e-03,0
